# Station Code,mnpi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:35
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,FCRN,HAYM,HAYP,LAWN,PAST,POTA,SGRN,WGRN,WGRP
07/29,0.193,0.227,0.202,0.182,0.207,0.182,0.153,0.207,0.203,0.145,0.16
07/30,0.207,0.243,0.218,0.193,0.223,0.193,0.165,0.225,0.208,0.142,0.18
07/31,0.192,0.225,0.21,0.18,0.203,0.18,0.152,0.207,0.185,0.122,0.14
08/01,0.198,0.235,0.218,0.187,0.213,0.187,0.16,0.217,0.185,0.098,0.15
08/02,0.162,0.192,0.18,0.153,0.173,0.153,0.132,0.177,0.14,0.103,0.09
08/03,0.198,0.233,0.222,0.188,0.21,0.188,0.158,0.217,0.162,0.118,0.05
08/04,0.207,0.242,0.235,0.195,0.217,0.195,0.162,0.225,0.16,0.122,0.1
08/05,0.203,0.24,0.235,0.192,0.213,0.192,0.162,0.223,0.13,0.105,0.12
08/06,0.182,0.215,0.21,0.173,0.193,0.173,0.147,0.2,0.16,0.12,0.14
08/07,0.175,0.207,0.203,0.167,0.183,0.167,0.142,0.193,0.163,0.11,0.1
08/08,0.188,0.22,0.218,0.177,0.197,0.177,0.15,0.203,0.163,0.11,0.09
08/09,0.208,0.245,0.245,0.197,0.218,0.197,0.165,0.227,0.168,0.113,0.12
08/10,0.215,0.253,0.253,0.203,0.227,0.203,0.173,0.233,0.145,0.113,0.16
08/11,0.21,0.247,0.247,0.198,0.22,0.198,0.167,0.23,0.173,0.103,0.14
08/12,0.223,0.263,0.263,0.212,0.235,0.212,0.18,0.242,0.173,0.1,0.15
08/13,0.203,0.238,0.238,0.192,0.212,0.192,0.162,0.218,0.147,0.083,0.14
08/14,0.213,0.252,0.252,0.203,0.225,0.203,0.168,0.232,0.147,0.083,0.14
08/15,0.225,0.263,0.263,0.212,0.237,0.212,0.178,0.242,0.137,0.0,0.15
08/16,0.205,0.242,0.242,0.192,0.215,0.192,0.163,0.22,0.107,,0.15
08/17,0.222,0.263,0.263,0.21,0.233,0.21,0.178,0.242,0.113,,0.16
08/18,0.187,0.22,0.22,0.177,0.193,0.177,0.15,0.202,0.067,,0.16
08/19,0.173,0.203,0.202,0.163,0.18,0.163,0.138,0.187,0.043,,0.09
08/20,0.157,0.185,0.183,0.15,0.163,0.15,0.127,0.168,0.0,,0.1
08/21,0.158,0.185,0.183,0.147,0.163,0.147,0.125,0.168,,,0.1
08/22,0.16,0.188,0.187,0.152,0.167,0.152,0.128,0.17,,,0.08
08/23,0.192,0.225,0.222,0.178,0.197,0.178,0.153,0.2,,,0.12
08/24,0.192,0.223,0.218,0.18,0.195,0.18,0.15,0.198,,,0.12
08/25,0.225,0.265,0.258,0.213,0.233,0.213,0.178,0.235,,,0.14
08/26,0.19,0.227,0.222,0.18,0.2,0.18,0.152,0.2,,,0.12
08/27,0.192,0.225,0.218,0.18,0.198,0.18,0.152,0.197,,,0.13
08/28,0.188,0.222,0.213,0.177,0.193,0.177,0.15,0.193,,,0.12
08/29,0.203,0.237,0.227,0.188,0.207,0.188,0.157,0.203,,,0.17
08/30,0.205,0.238,0.225,0.193,0.205,0.193,0.16,0.203,,,0.14
08/31,0.183,0.213,0.202,0.17,0.187,0.17,0.142,0.183,,,0.12
09/01,0.195,0.23,0.213,0.183,0.2,0.183,0.153,0.197,,,0.12
09/02,0.18,0.21,0.195,0.168,0.182,0.168,0.138,0.175,,,0.09
