# Station Code,tfgi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:40
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,POTS,RAPE,SGRN,WGRN
06/19,0.25,0.294,0.236,0.273,0.236,0.199,0.226,0.27,0.28,0.294,0.294
06/20,0.259,0.303,0.243,0.281,0.243,0.204,0.24,0.28,0.29,0.303,0.301
06/21,0.266,0.311,0.249,0.289,0.249,0.213,0.249,0.286,0.303,0.311,0.309
06/22,0.287,0.337,0.271,0.311,0.271,0.229,0.274,0.311,0.33,0.337,0.334
06/23,0.266,0.313,0.247,0.29,0.247,0.211,0.259,0.287,0.306,0.313,0.31
06/24,0.256,0.303,0.243,0.281,0.243,0.206,0.25,0.279,0.3,0.303,0.297
06/25,0.276,0.324,0.26,0.297,0.26,0.22,0.273,0.297,0.321,0.324,0.311
06/26,0.281,0.33,0.264,0.304,0.264,0.224,0.281,0.304,0.327,0.33,0.316
06/27,0.286,0.334,0.267,0.309,0.267,0.227,0.289,0.309,0.331,0.334,0.316
06/28,0.276,0.324,0.26,0.299,0.26,0.22,0.284,0.299,0.323,0.324,0.303
06/29,0.271,0.317,0.253,0.29,0.253,0.216,0.281,0.291,0.316,0.317,0.289
06/30,0.259,0.304,0.244,0.279,0.244,0.207,0.27,0.28,0.304,0.304,0.27
07/01,0.279,0.326,0.26,0.299,0.26,0.221,0.289,0.3,0.326,0.326,0.281
07/02,0.281,0.333,0.267,0.304,0.267,0.226,0.299,0.306,0.333,0.333,0.277
07/03,0.264,0.311,0.249,0.283,0.249,0.211,0.279,0.286,0.311,0.311,0.251
07/04,0.264,0.311,0.247,0.284,0.247,0.211,0.281,0.287,0.311,0.311,0.244
07/05,0.286,0.336,0.269,0.306,0.269,0.227,0.307,0.31,0.336,0.336,0.254
07/06,0.297,0.349,0.28,0.317,0.28,0.239,0.319,0.32,0.349,0.349,0.253
07/07,0.29,0.34,0.271,0.31,0.271,0.231,0.311,0.311,0.34,0.337,0.237
07/08,0.247,0.291,0.233,0.267,0.233,0.199,0.269,0.267,0.291,0.289,0.19
07/09,0.284,0.333,0.266,0.303,0.266,0.227,0.307,0.304,0.333,0.33,0.211
07/10,0.307,0.361,0.29,0.33,0.29,0.244,0.333,0.331,0.361,0.353,0.219
07/11,0.303,0.356,0.284,0.321,0.284,0.243,0.329,0.324,0.356,0.341,0.204
07/12,0.287,0.339,0.271,0.307,0.271,0.23,0.314,0.309,0.339,0.319,0.183
07/13,0.311,0.367,0.293,0.331,0.293,0.249,0.34,0.334,0.367,0.341,0.193
07/14,0.273,0.321,0.259,0.289,0.259,0.219,0.299,0.291,0.321,0.294,0.156
07/15,0.296,0.347,0.277,0.311,0.277,0.236,0.323,0.314,0.347,0.31,0.16
07/16,0.287,0.34,0.271,0.306,0.271,0.231,0.316,0.304,0.34,0.297,0.147
07/17,0.276,0.324,0.261,0.291,0.261,0.221,0.303,0.289,0.324,0.277,0.131
07/18,0.3,0.351,0.28,0.316,0.28,0.24,0.327,0.311,0.351,0.286,0.133
07/19,0.28,0.33,0.263,0.294,0.263,0.224,0.307,0.291,0.33,0.254,0.117
07/20,0.28,0.329,0.263,0.296,0.263,0.221,0.306,0.289,0.329,0.236,0.041
