# Station Code,fthi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:30
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEET,FCRN,LAWN,PAST,POTA,SGRN,WGRN
08/09,0.274,0.322,0.322,0.321,0.258,0.218,0.291,0.09,
08/10,0.289,0.339,0.339,0.338,0.272,0.229,0.303,0.0,
08/11,0.297,0.35,0.35,0.348,0.279,0.237,0.311,,
08/12,0.282,0.333,0.333,0.332,0.267,0.225,0.295,,
08/13,0.285,0.335,0.335,0.333,0.268,0.228,0.297,,
08/14,0.272,0.321,0.321,0.317,0.256,0.218,0.282,,
08/15,0.285,0.335,0.335,0.33,0.267,0.228,0.291,,
08/16,0.278,0.326,0.326,0.322,0.262,0.221,0.282,,
08/17,0.285,0.335,0.335,0.328,0.268,0.226,0.288,,
08/18,0.264,0.311,0.311,0.303,0.249,0.212,0.265,,
08/19,0.253,0.298,0.296,0.289,0.238,0.202,0.252,,
08/20,0.229,0.268,0.266,0.26,0.215,0.182,0.227,,
08/21,0.243,0.285,0.283,0.275,0.228,0.194,0.237,,
08/22,0.242,0.283,0.28,0.272,0.226,0.192,0.235,,
08/23,0.234,0.275,0.272,0.262,0.22,0.185,0.226,,
08/24,0.252,0.297,0.291,0.282,0.238,0.201,0.244,,
08/25,0.262,0.31,0.302,0.293,0.248,0.208,0.254,,
08/26,0.236,0.276,0.269,0.261,0.222,0.185,0.224,,
08/27,0.248,0.292,0.283,0.275,0.234,0.197,0.234,,
08/28,0.264,0.311,0.301,0.287,0.249,0.208,0.247,,
08/29,0.283,0.332,0.319,0.307,0.265,0.22,0.262,,
08/30,0.268,0.314,0.299,0.291,0.25,0.207,0.248,,
08/31,0.242,0.285,0.269,0.261,0.228,0.19,0.222,,
09/01,0.251,0.295,0.276,0.268,0.235,0.195,0.227,,
09/02,0.252,0.297,0.278,0.269,0.239,0.195,0.227,,
09/03,0.244,0.287,0.268,0.257,0.228,0.188,0.215,,
09/04,0.22,0.259,0.24,0.232,0.208,0.169,0.194,,
09/05,0.255,0.298,0.275,0.265,0.239,0.195,0.218,,
