# Station Code,osgi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:37
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,POTS,SGRN,WGRN
06/18,0.186,0.219,0.195,0.209,0.176,0.149,0.14,0.202,0.219,0.219
06/19,0.219,0.259,0.227,0.246,0.207,0.176,0.156,0.224,0.259,0.259
06/20,0.196,0.231,0.204,0.22,0.186,0.158,0.141,0.196,0.231,0.231
06/21,0.21,0.247,0.217,0.235,0.197,0.168,0.164,0.219,0.247,0.247
06/22,0.206,0.243,0.211,0.232,0.195,0.165,0.166,0.217,0.243,0.243
06/23,0.211,0.246,0.213,0.233,0.198,0.167,0.176,0.22,0.246,0.246
06/24,0.226,0.263,0.225,0.249,0.21,0.18,0.193,0.237,0.263,0.263
06/25,0.209,0.246,0.211,0.233,0.196,0.167,0.181,0.225,0.246,0.246
06/26,0.221,0.26,0.219,0.246,0.208,0.176,0.196,0.239,0.26,0.26
06/27,0.209,0.246,0.208,0.23,0.198,0.167,0.198,0.236,0.246,0.246
06/28,0.198,0.232,0.195,0.217,0.186,0.157,0.173,0.205,0.232,0.232
06/29,0.209,0.246,0.206,0.23,0.197,0.166,0.179,0.206,0.246,0.246
06/30,0.185,0.217,0.179,0.204,0.173,0.148,0.175,0.198,0.217,0.217
07/01,0.214,0.251,0.206,0.236,0.199,0.171,0.206,0.23,0.251,0.251
07/02,0.222,0.26,0.212,0.243,0.207,0.177,0.214,0.236,0.26,0.26
07/03,0.216,0.254,0.207,0.237,0.202,0.173,0.215,0.233,0.254,0.251
07/04,0.216,0.255,0.208,0.237,0.205,0.172,0.211,0.226,0.255,0.252
07/05,0.21,0.247,0.199,0.229,0.197,0.168,0.206,0.22,0.247,0.243
07/06,0.211,0.249,0.199,0.231,0.199,0.169,0.225,0.239,0.249,0.243
07/07,0.221,0.261,0.21,0.241,0.209,0.178,0.228,0.241,0.261,0.248
07/08,0.207,0.244,0.196,0.226,0.196,0.167,0.219,0.229,0.244,0.229
07/09,0.215,0.252,0.203,0.232,0.202,0.172,0.224,0.233,0.252,0.23
07/10,0.202,0.237,0.191,0.219,0.191,0.161,0.216,0.225,0.237,0.212
07/11,0.215,0.253,0.202,0.233,0.202,0.172,0.233,0.238,0.253,0.223
07/12,0.212,0.249,0.199,0.229,0.199,0.169,0.224,0.228,0.249,0.21
07/13,0.216,0.256,0.204,0.236,0.204,0.173,0.225,0.228,0.256,0.209
07/14,0.199,0.235,0.188,0.215,0.188,0.159,0.21,0.209,0.235,0.184
07/15,0.203,0.238,0.19,0.218,0.19,0.162,0.219,0.215,0.238,0.182
07/16,0.217,0.257,0.205,0.236,0.205,0.174,0.228,0.224,0.256,0.188
07/17,0.203,0.238,0.191,0.219,0.191,0.163,0.226,0.22,0.236,0.166
07/18,0.227,0.267,0.213,0.246,0.213,0.182,0.254,0.244,0.261,0.183
07/19,0.215,0.255,0.202,0.236,0.202,0.171,0.23,0.221,0.246,0.161
07/20,0.217,0.254,0.203,0.232,0.203,0.172,0.231,0.217,0.243,0.15
07/21,0.224,0.264,0.211,0.242,0.211,0.179,0.229,0.217,0.246,0.16
07/22,0.233,0.275,0.22,0.252,0.22,0.187,0.246,0.229,0.258,0.163
07/23,0.228,0.266,0.213,0.242,0.213,0.181,0.235,0.22,0.239,0.147
07/24,0.229,0.269,0.216,0.244,0.216,0.183,0.235,0.219,0.233,0.133
07/25,0.219,0.256,0.206,0.233,0.206,0.173,0.221,0.204,0.217,0.102
07/26,0.214,0.252,0.201,0.23,0.201,0.171,0.225,0.205,0.228,0.145
07/27,0.207,0.244,0.196,0.221,0.196,0.166,0.229,0.205,0.212,0.137
07/28,0.2,0.234,0.186,0.21,0.186,0.159,0.214,0.194,0.197,0.127
07/29,0.201,0.236,0.188,0.213,0.188,0.16,0.233,0.208,0.179,0.122
07/30,0.233,0.274,0.22,0.247,0.22,0.186,0.26,0.23,0.193,0.122
07/31,0.239,0.28,0.223,0.252,0.223,0.19,0.26,0.226,0.183,0.105
08/01,0.236,0.279,0.224,0.25,0.224,0.188,0.255,0.223,0.159,0.055
08/02,0.224,0.263,0.211,0.236,0.211,0.18,0.237,0.199,0.151,0.073
08/03,0.231,0.27,0.216,0.243,0.216,0.184,0.255,0.215,0.151,0.087
08/04,0.213,0.248,0.198,0.223,0.198,0.168,0.238,0.2,0.122,0.073
08/05,0.185,0.216,0.172,0.194,0.172,0.148,0.217,0.181,0.086,0.033
08/06,0.193,0.225,0.181,0.201,0.181,0.152,0.212,0.175,0.105,0.09
08/07,0.221,0.259,0.208,0.232,0.208,0.176,0.241,0.196,0.118,0.08
08/08,0.199,0.234,0.187,0.21,0.187,0.16,0.228,0.182,0.098,0.08
08/09,0.222,0.261,0.209,0.234,0.209,0.178,0.246,0.195,0.1,0.08
08/10,0.237,0.278,0.224,0.248,0.224,0.189,0.255,0.199,0.05,0.0
08/11,0.249,0.291,0.232,0.26,0.232,0.199,0.263,0.203,0.125,
08/12,0.243,0.284,0.228,0.254,0.228,0.191,0.26,0.195,0.11,
08/13,0.258,0.302,0.242,0.27,0.242,0.205,0.287,0.214,0.1,
08/14,0.22,0.258,0.206,0.229,0.206,0.176,0.23,0.169,0.075,
08/15,0.234,0.275,0.221,0.243,0.221,0.187,0.228,0.164,0.0,
08/16,0.229,0.27,0.215,0.239,0.215,0.184,0.23,0.164,,
08/17,0.243,0.286,0.229,0.253,0.229,0.193,0.256,0.177,,
08/18,0.228,0.268,0.213,0.238,0.213,0.181,0.229,0.159,,
08/19,0.219,0.258,0.207,0.228,0.207,0.176,0.217,0.146,,
