# Station Code,gfri
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:31
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEAN,BEET,FCRN,LAWN,PAST,POTA,PPMT,SCRN,SGRN,WGRN
07/16,0.363,0.427,0.397,0.427,0.421,0.34,0.291,0.393,0.406,0.418,0.303,0.24
07/17,0.362,0.424,0.393,0.424,0.418,0.34,0.289,0.388,0.402,0.415,0.295,0.21
07/18,0.392,0.461,0.426,0.461,0.457,0.368,0.314,0.421,0.438,0.452,0.319,0.29
07/19,0.372,0.437,0.404,0.437,0.435,0.349,0.297,0.399,0.416,0.43,0.272,0.21
07/20,0.374,0.44,0.403,0.44,0.44,0.352,0.3,0.401,0.418,0.435,0.253,0.15
07/21,0.362,0.425,0.386,0.425,0.425,0.34,0.289,0.385,0.404,0.421,0.267,0.39
07/22,0.391,0.458,0.415,0.458,0.458,0.368,0.312,0.414,0.436,0.454,0.286,0.49
07/23,0.352,0.414,0.368,0.414,0.414,0.332,0.282,0.372,0.393,0.407,0.229,0.46
07/24,0.338,0.398,0.35,0.398,0.398,0.318,0.271,0.357,0.378,0.391,0.228,0.57
07/25,0.354,0.416,0.364,0.416,0.416,0.333,0.283,0.371,0.303,0.408,0.143,0.41
07/26,0.35,0.412,0.357,0.412,0.412,0.332,0.281,0.367,0.381,0.402,0.315,0.48
07/27,0.34,0.399,0.342,0.399,0.399,0.318,0.272,0.353,0.379,0.388,0.328,0.49
07/28,0.347,0.408,0.346,0.408,0.407,0.327,0.278,0.36,0.398,0.396,0.28,0.41
07/29,0.348,0.409,0.34,0.409,0.407,0.327,0.279,0.358,0.386,0.393,0.258,0.37
07/30,0.359,0.423,0.347,0.423,0.421,0.34,0.288,0.368,0.405,0.405,0.282,0.47
07/31,0.358,0.421,0.338,0.421,0.418,0.335,0.285,0.362,0.385,0.399,0.242,0.39
08/01,0.345,0.405,0.321,0.405,0.402,0.325,0.275,0.351,0.332,0.384,0.245,0.45
08/02,0.351,0.413,0.322,0.413,0.408,0.328,0.282,0.354,0.387,0.388,0.25,0.45
08/03,0.368,0.433,0.328,0.433,0.428,0.347,0.295,0.369,0.414,0.403,0.195,0.34
08/04,0.322,0.379,0.281,0.379,0.374,0.303,0.259,0.322,0.372,0.349,0.177,0.34
08/05,0.309,0.365,0.27,0.365,0.359,0.292,0.248,0.308,0.122,0.336,0.113,0.27
08/06,0.314,0.368,0.269,0.368,0.362,0.293,0.251,0.309,0.373,0.338,0.28,0.38
08/07,0.297,0.349,0.245,0.348,0.342,0.28,0.239,0.293,0.317,0.315,0.235,0.34
08/08,0.296,0.348,0.237,0.347,0.338,0.278,0.238,0.289,0.297,0.312,0.265,0.37
08/09,0.332,0.388,0.252,0.385,0.375,0.311,0.263,0.319,0.32,0.343,0.29,0.43
08/10,0.325,0.382,0.243,0.378,0.368,0.305,0.26,0.316,0.09,0.262,0.215,0.25
08/11,0.335,0.393,0.239,0.387,0.378,0.314,0.268,0.32,0.34,0.34,0.245,0.36
08/12,0.331,0.39,0.236,0.382,0.373,0.312,0.265,0.316,0.3,0.349,0.235,0.29
08/13,0.31,0.362,0.205,0.354,0.343,0.291,0.246,0.292,0.28,0.317,0.245,0.38
08/14,0.318,0.372,0.206,0.363,0.352,0.297,0.253,0.296,0.34,0.325,0.21,0.3
08/15,0.321,0.378,0.177,0.368,0.356,0.302,0.255,0.302,0.0,0.279,0.145,0.29
